transaction_id,transaction_amount,transaction_hour,is_weekend,account_age_days,num_transactions_last_24h,avg_transaction_amount_30d,distance_from_home_km,is_foreign_transaction,merchant_category,payment_method,num_failed_attempts_last_hour,is_new_device,is_new_merchant,card_present,is_fraud
TXN100020,143.74,22,0,591,3,124.0,41.25,0,electronics,credit_card,0,0,0,0,0
TXN100021,25.38,4,0,993,2,82.42,35.24,0,travel,digital_wallet,1,0,0,1,0
TXN100022,65.81,15,0,1685,1,84.01,17.67,0,restaurant,debit_card,0,0,0,1,0
TXN100023,72.09,5,0,1620,3,162.53,0.45,0,other,debit_card,2,0,0,0,0
TXN100024,91.51,7,1,1043,2,218.02,3.73,0,electronics,digital_wallet,1,0,1,0,0
TXN100025,225.94,11,1,1550,4,36.54,50.08,0,electronics,digital_wallet,1,0,1,1,0
TXN100026,40.94,8,0,1402,3,34.71,40.2,0,other,debit_card,0,0,0,0,0
TXN100027,118.38,20,0,3327,3,87.98,9.67,0,online_retail,debit_card,0,0,0,1,0
TXN100028,146.72,23,0,547,6,44.79,19.14,0,online_retail,credit_card,0,0,0,0,0
TXN100029,12.77,12,0,2208,6,29.81,31.88,0,gas_station,debit_card,1,0,0,1,0
TXN100030,187.88,12,1,440,3,353.39,17.63,0,grocery,credit_card,0,0,0,0,0
TXN100031,31.47,1,1,2172,2,297.84,45.95,1,restaurant,digital_wallet,1,0,1,0,0
TXN100032,14.19,5,0,3206,5,122.33,4.37,0,grocery,debit_card,0,0,1,0,0
TXN100033,409.09,0,1,2568,2,146.77,10.63,0,online_retail,credit_card,0,1,0,1,0
TXN100034,549.76,20,0,377,2,155.68,17.82,0,other,digital_wallet,1,0,0,1,1
TXN100035,289.53,5,0,169,4,18.38,21.72,0,grocery,debit_card,0,0,0,1,0
TXN100036,58.68,8,0,973,1,84.22,94.04,0,electronics,credit_card,0,0,0,1,0
TXN100037,18.46,20,1,327,0,164.43,31.34,0,other,credit_card,0,0,1,0,0
TXN100038,161.15,17,0,2720,5,180.94,0.86,0,grocery,credit_card,0,0,1,0,0
TXN100039,99.48,14,0,450,4,48.67,4.09,0,grocery,debit_card,0,0,0,1,0
TXN100040,26.81,0,1,621,2,99.0,27.71,1,grocery,credit_card,0,0,0,1,0
TXN100041,114.77,13,1,2504,0,213.11,5.17,0,gas_station,credit_card,0,0,0,0,0
TXN100042,9.46,13,0,3571,3,273.27,2.82,0,gas_station,credit_card,0,0,0,0,0
TXN100043,375.37,7,0,1263,7,66.26,20.33,0,gas_station,credit_card,0,1,0,1,0
TXN100044,50.62,17,0,3109,4,55.54,16.51,0,gas_station,debit_card,0,1,1,1,1
TXN100045,172.41,22,0,339,3,182.94,31.37,0,gas_station,credit_card,0,0,0,1,0
TXN100046,67.76,6,1,3001,1,155.34,9.91,0,gas_station,credit_card,0,1,1,0,0
TXN100047,118.25,7,0,2880,5,91.61,9.45,0,restaurant,debit_card,1,0,0,1,0
TXN100048,134.18,7,0,2046,4,32.28,3.37,0,online_retail,credit_card,1,1,0,1,0
TXN100049,35.95,20,0,2417,2,60.69,14.86,0,online_retail,digital_wallet,1,0,0,0,0
TXN100050,547.59,1,0,102,7,123.65,21.79,0,travel,debit_card,0,0,0,1,0
TXN100051,246.85,21,1,1326,2,191.0,2.7,0,gas_station,credit_card,0,1,0,1,0
TXN100052,357.46,18,1,174,3,265.21,5.12,0,gas_station,credit_card,1,0,0,1,0
TXN100053,329.92,11,0,2603,1,99.27,3.47,1,grocery,credit_card,0,1,0,1,0
TXN100054,133.89,14,1,545,3,264.12,28.61,0,grocery,debit_card,1,0,1,1,0
TXN100055,358.83,21,0,570,0,41.51,3.47,0,electronics,credit_card,1,1,0,0,1
TXN100056,18.29,18,0,2908,1,142.77,3.81,0,restaurant,credit_card,0,0,0,1,0
TXN100057,45.13,6,0,2005,3,182.97,1.45,0,grocery,debit_card,0,0,1,0,0
TXN100058,10.76,1,0,2054,2,260.5,37.96,0,jewelry,credit_card,1,0,1,1,0
TXN100059,71.92,15,0,2821,2,204.95,3.03,0,grocery,debit_card,1,0,1,1,0
TXN100060,64.41,3,0,2664,2,58.04,0.52,0,restaurant,debit_card,0,0,0,1,0
TXN100061,50.41,2,0,2509,4,212.62,1.67,0,grocery,credit_card,1,0,0,0,0
TXN100062,275.0,23,0,1093,2,109.56,8.91,0,grocery,credit_card,1,1,0,1,0
TXN100063,76.37,11,0,1421,2,116.84,23.84,1,restaurant,debit_card,0,0,0,1,0
TXN100064,59.32,15,1,2022,4,72.66,8.65,0,gas_station,credit_card,0,0,0,1,0
TXN100065,134.58,5,1,2063,4,90.48,15.74,0,online_retail,debit_card,0,0,0,0,0
TXN100066,26.64,2,0,2173,5,374.39,42.78,0,gas_station,credit_card,1,0,0,0,0
TXN100067,234.68,1,0,2589,1,156.99,45.01,0,restaurant,debit_card,0,0,0,0,0
TXN100068,18.42,8,0,730,7,76.27,7.03,0,gas_station,digital_wallet,0,0,1,1,0
TXN100069,640.25,0,0,1996,3,118.16,4.05,0,online_retail,digital_wallet,1,0,0,0,0
TXN100070,194.71,10,1,86,4,105.54,25.91,0,grocery,credit_card,0,0,0,0,0
TXN100071,33.37,7,0,2575,4,75.49,19.38,0,online_retail,debit_card,0,0,1,1,0
TXN100072,5.22,12,1,2049,3,115.0,65.05,0,online_retail,digital_wallet,1,0,0,1,0
TXN100073,274.37,14,0,1511,2,217.93,39.29,0,restaurant,credit_card,0,0,0,1,0
TXN100074,192.32,7,0,1126,6,71.79,10.03,0,grocery,credit_card,0,0,0,0,1
TXN100075,218.2,10,1,1213,1,303.41,2.28,0,restaurant,credit_card,0,0,0,1,0
TXN100076,214.97,1,0,1156,7,241.97,0.64,0,grocery,credit_card,0,0,0,1,1
TXN100077,16.86,7,0,1430,3,191.01,21.39,0,online_retail,credit_card,0,0,1,0,0
TXN100078,77.16,23,1,182,2,126.66,25.29,0,electronics,credit_card,0,1,0,0,0
TXN100079,22.61,23,1,2516,2,293.91,18.6,0,other,credit_card,0,0,1,1,0
TXN100080,320.37,11,0,3165,3,174.05,20.53,0,electronics,debit_card,0,0,0,0,0
TXN100081,139.89,22,0,3166,5,189.69,13.66,0,grocery,credit_card,0,0,0,0,0
TXN100082,62.49,12,1,2900,4,186.95,17.21,1,jewelry,credit_card,1,1,0,0,0
TXN100083,14.19,3,0,292,4,174.0,6.36,0,restaurant,credit_card,0,0,0,0,0
TXN100084,52.73,20,1,897,2,94.4,12.38,1,travel,debit_card,1,0,0,1,0
TXN100085,67.85,9,1,1244,3,39.41,0.29,0,jewelry,credit_card,1,1,0,1,0
TXN100086,190.16,14,1,2895,7,353.33,27.09,0,online_retail,digital_wallet,0,0,0,1,0
TXN100087,157.47,15,1,387,2,84.91,7.75,0,restaurant,digital_wallet,1,0,0,0,0
TXN100088,352.08,7,0,1889,6,118.8,16.1,0,travel,credit_card,0,0,1,0,0
TXN100089,106.41,17,1,3021,1,39.72,50.11,0,grocery,credit_card,1,1,0,1,0
TXN100090,26.11,12,0,3387,4,119.24,19.69,0,online_retail,debit_card,0,1,0,1,1
TXN100091,190.11,8,0,1627,3,70.7,8.04,0,restaurant,credit_card,0,0,1,0,0
TXN100092,208.69,7,0,3199,6,344.74,5.2,0,electronics,credit_card,0,0,0,0,0
TXN100093,127.36,17,0,2408,4,44.64,6.78,0,grocery,credit_card,1,0,1,0,0
TXN100094,184.64,5,0,3525,4,244.13,96.08,0,gas_station,credit_card,0,0,1,1,0
TXN100095,90.04,2,1,295,3,84.11,18.19,0,online_retail,digital_wallet,1,0,0,0,0
TXN100096,98.93,21,0,1264,3,327.42,12.76,1,other,credit_card,0,0,0,0,0
TXN100097,78.67,7,0,1258,4,307.07,7.85,0,restaurant,credit_card,0,0,0,0,0
TXN100098,9.3,15,0,2903,1,161.42,22.68,0,other,debit_card,0,0,0,0,0
TXN100099,19.85,17,0,1245,2,39.93,10.7,0,restaurant,credit_card,0,0,0,0,0
TXN100100,9.36,20,1,2535,3,119.06,9.97,0,restaurant,credit_card,2,0,0,1,1
TXN100101,183.21,15,0,4956,4,122.22,4.07,0,electronics,debit_card,0,0,0,1,0
TXN100102,59.03,16,0,2509,3,108.14,4.92,0,grocery,credit_card,0,0,1,0,1
TXN100103,121.89,20,0,2664,1,212.6,7.84,0,other,debit_card,0,0,0,0,0
TXN100104,323.8,22,1,2022,1,92.71,15.12,0,other,credit_card,2,0,0,1,1
TXN100105,46.84,1,0,2532,1,368.39,6.23,0,restaurant,credit_card,1,0,0,1,0
TXN100106,75.16,17,0,643,5,55.24,1.19,0,electronics,debit_card,0,0,0,0,0
TXN100107,207.69,4,0,480,2,80.97,8.8,0,other,debit_card,0,0,1,1,0
TXN100108,48.64,21,0,1334,2,63.31,16.58,0,gas_station,debit_card,1,0,1,0,0
TXN100109,13.83,1,0,1368,3,152.35,1.57,0,grocery,credit_card,0,0,1,0,0
TXN100110,59.33,5,0,3064,3,37.25,11.81,0,electronics,debit_card,2,0,0,0,0
TXN100111,32.28,4,1,546,4,282.28,0.98,0,grocery,debit_card,0,0,0,1,0
TXN100112,375.49,14,0,1962,3,63.55,26.98,0,online_retail,debit_card,0,0,0,0,0
TXN100113,212.38,0,1,2740,3,184.17,38.65,1,restaurant,debit_card,1,0,1,1,1
TXN100114,156.87,0,0,3797,1,79.07,54.66,1,grocery,digital_wallet,0,0,0,0,1
TXN100115,293.48,12,0,3554,4,360.57,21.59,0,other,debit_card,0,0,1,0,0
TXN100116,256.26,23,0,1306,4,47.1,20.43,0,other,credit_card,1,1,1,0,1
TXN100117,36.06,12,0,765,3,36.27,25.48,1,online_retail,credit_card,1,0,0,1,0
TXN100118,411.6,10,1,2511,6,166.77,47.9,0,jewelry,credit_card,0,0,1,0,0
TXN100119,117.83,15,0,879,5,341.87,34.37,0,gas_station,debit_card,0,0,0,1,0
TXN100120,222.96,13,0,2638,4,72.17,10.6,0,other,debit_card,0,0,0,1,0
TXN100121,352.13,9,0,711,1,28.69,17.56,0,grocery,credit_card,2,0,0,1,1
TXN100122,64.08,14,0,852,1,195.99,3.72,0,electronics,debit_card,2,0,1,1,0
TXN100123,26.47,0,0,789,4,260.82,23.24,0,restaurant,credit_card,2,0,0,0,0
TXN100124,48.42,5,0,2756,4,232.01,25.84,0,online_retail,credit_card,2,0,0,1,0
TXN100125,92.43,16,0,1388,3,110.35,33.88,1,online_retail,debit_card,0,0,1,1,0
TXN100126,310.59,8,0,1926,2,227.95,37.38,0,electronics,digital_wallet,0,1,1,1,0
TXN100127,260.72,1,1,3066,4,22.43,12.17,1,grocery,credit_card,0,1,0,0,1
TXN100128,5.6,2,0,2973,3,258.07,45.36,0,restaurant,digital_wallet,0,0,0,1,0
TXN100129,100.42,20,1,2681,3,80.42,68.57,0,electronics,credit_card,1,0,0,0,0
TXN100130,82.11,7,0,756,3,124.51,68.39,0,other,credit_card,0,0,0,0,0
TXN100131,36.18,0,0,3073,0,344.42,20.54,0,other,digital_wallet,1,0,1,0,1
TXN100132,26.06,17,1,3066,5,373.39,15.2,0,grocery,credit_card,0,0,1,0,0
TXN100133,65.03,12,1,2473,2,106.06,9.6,0,online_retail,debit_card,0,0,1,1,0
TXN100134,364.17,10,0,2118,2,262.59,8.78,0,electronics,debit_card,1,0,0,1,0
TXN100135,56.27,21,0,1294,3,315.9,6.85,0,online_retail,credit_card,0,0,0,1,1
TXN100136,119.12,7,0,648,2,150.35,4.89,1,gas_station,digital_wallet,1,0,0,1,0
TXN100137,206.91,13,0,1961,2,206.06,68.11,0,grocery,credit_card,0,0,0,0,0
TXN100138,92.51,17,0,1547,2,553.72,19.35,0,online_retail,digital_wallet,0,0,0,0,0
TXN100139,766.28,14,1,634,1,148.36,34.89,0,online_retail,credit_card,0,1,1,1,1
TXN100140,522.66,4,1,1187,3,351.44,10.5,1,electronics,credit_card,0,1,1,0,0
TXN100141,43.08,16,1,479,5,112.32,8.99,0,grocery,credit_card,1,0,0,0,0
TXN100142,83.74,17,0,2722,1,51.84,3.28,0,online_retail,debit_card,0,1,0,1,1
TXN100143,60.61,2,0,1230,2,463.62,4.87,0,restaurant,debit_card,0,0,0,0,0
TXN100144,50.15,3,0,1911,4,245.33,64.78,0,jewelry,digital_wallet,1,0,0,1,0
TXN100145,10.12,16,0,2288,2,230.0,13.75,0,restaurant,credit_card,0,0,1,0,0
TXN100146,135.73,2,0,647,5,143.22,9.92,1,restaurant,credit_card,0,1,0,0,0
TXN100147,107.94,21,0,3455,0,42.0,19.34,0,online_retail,digital_wallet,0,0,0,0,0
TXN100148,14.69,2,0,1887,5,197.85,48.43,1,grocery,credit_card,0,0,0,1,0
TXN100149,55.02,23,1,2577,2,112.73,4.34,0,other,credit_card,0,0,0,0,0
TXN100150,356.48,16,1,1174,11,118.29,60.86,1,restaurant,credit_card,0,0,0,1,1
TXN100151,40.69,10,1,2120,4,301.24,27.88,0,grocery,digital_wallet,1,0,1,1,0
TXN100152,23.3,6,1,1868,3,275.17,38.4,0,other,credit_card,0,0,0,1,0
TXN100153,99.84,8,1,843,2,222.3,11.25,1,online_retail,debit_card,0,0,1,0,0
TXN100154,637.48,17,0,2505,8,156.07,6.74,0,gas_station,credit_card,0,0,0,1,0
TXN100155,57.58,18,0,3163,2,17.96,17.43,0,electronics,debit_card,0,1,0,1,0
TXN100156,174.98,5,0,3346,9,160.72,1.72,1,restaurant,digital_wallet,1,0,0,1,0
TXN100157,247.63,13,0,2105,4,134.51,42.39,0,grocery,debit_card,0,0,0,0,0
TXN100158,43.04,23,1,1925,2,213.05,32.25,0,electronics,credit_card,1,0,0,1,0
TXN100159,173.85,6,0,2576,2,480.47,6.29,0,online_retail,debit_card,1,0,0,0,0
TXN100160,65.71,16,0,1529,3,248.35,6.44,0,electronics,debit_card,1,0,0,0,0
TXN100161,142.15,4,0,3049,4,206.53,53.07,0,other,debit_card,1,0,1,1,0
TXN100162,200.85,20,0,347,5,210.41,34.81,0,other,debit_card,1,0,0,0,0
TXN100163,108.84,4,0,1203,4,114.68,33.28,0,grocery,debit_card,0,0,0,0,0
TXN100164,21.22,7,1,2949,7,89.88,6.31,0,gas_station,debit_card,1,0,0,0,0
TXN100165,247.25,11,0,1837,7,217.88,40.65,0,grocery,debit_card,0,0,0,1,0
TXN100166,70.47,8,0,1293,2,440.01,5.57,0,online_retail,credit_card,0,0,0,1,1
TXN100167,37.66,4,0,225,2,73.19,0.48,1,electronics,digital_wallet,0,0,0,0,0
TXN100168,11.03,15,0,3388,3,205.62,9.68,0,other,debit_card,0,1,0,0,0
TXN100169,138.39,0,0,1723,2,127.75,59.33,0,jewelry,credit_card,1,0,1,0,0
TXN100170,161.57,23,0,1919,2,175.41,15.47,0,online_retail,credit_card,1,0,1,0,0
TXN100171,7.92,1,0,2562,8,76.33,5.4,0,grocery,debit_card,0,0,0,0,0
TXN100172,106.65,8,0,2132,2,156.03,20.9,0,gas_station,credit_card,0,0,1,0,0
TXN100173,37.57,22,0,954,3,28.93,29.91,0,restaurant,credit_card,0,0,0,1,0
TXN100174,137.61,3,0,2278,8,307.4,20.69,0,online_retail,debit_card,1,0,0,0,0
TXN100175,34.45,1,1,1711,5,234.97,38.3,0,online_retail,debit_card,0,0,0,1,0
TXN100176,218.92,17,0,2992,6,274.82,20.89,0,restaurant,credit_card,0,0,1,1,0
TXN100177,79.86,1,0,1132,3,209.32,2.07,0,grocery,credit_card,0,1,0,1,0
TXN100178,413.13,21,1,2643,1,73.68,30.28,0,travel,credit_card,1,0,0,1,0
TXN100179,28.14,10,0,807,2,77.81,3.08,0,restaurant,debit_card,0,0,0,1,0
TXN100180,79.03,20,1,1089,2,303.0,40.74,0,travel,debit_card,1,0,0,1,0
TXN100181,23.69,5,0,2540,3,40.7,16.35,0,gas_station,debit_card,0,0,0,0,0
TXN100182,374.02,3,0,1824,5,705.7,26.84,0,travel,debit_card,0,0,0,1,0
TXN100183,365.14,23,0,438,2,229.01,62.04,0,restaurant,credit_card,1,0,0,1,0
TXN100184,52.38,18,0,679,5,69.03,10.87,0,grocery,credit_card,0,0,0,1,0
TXN100185,200.57,21,0,88,2,44.38,9.35,0,online_retail,debit_card,0,0,0,1,0
TXN100186,265.7,7,0,2126,3,125.46,33.82,0,electronics,debit_card,0,0,1,1,1
TXN100187,109.23,9,0,2856,7,198.38,2.34,0,electronics,credit_card,0,0,0,0,0
TXN100188,100.25,13,1,3358,1,244.78,0.78,0,online_retail,credit_card,0,0,0,0,0
TXN100189,56.72,10,0,1295,5,165.14,23.63,0,other,credit_card,0,0,0,1,0
TXN100190,24.18,5,0,3316,1,86.1,3.05,0,restaurant,credit_card,0,0,0,1,0
TXN100191,338.89,9,1,3753,6,82.02,6.13,0,travel,debit_card,1,0,1,1,1
TXN100192,335.24,14,0,2714,8,167.17,77.84,1,grocery,debit_card,0,1,1,0,0
TXN100193,185.19,0,0,1453,5,43.08,20.32,0,gas_station,debit_card,0,0,0,0,0
TXN100194,58.76,8,0,2414,3,21.38,37.59,0,online_retail,credit_card,0,0,1,1,1
TXN100195,62.37,7,0,1197,1,150.47,42.79,0,gas_station,credit_card,1,0,0,1,0
TXN100196,215.15,1,0,2993,1,135.39,3.63,0,electronics,credit_card,0,0,0,0,0
TXN100197,330.1,2,1,2642,1,463.62,48.77,1,grocery,credit_card,0,0,0,0,0
TXN100198,331.97,11,0,399,4,211.26,42.83,0,restaurant,debit_card,3,1,0,0,0
TXN100199,227.52,2,0,97,2,103.5,0.59,0,other,debit_card,0,0,0,0,0
TXN100200,165.68,8,1,2692,0,100.62,87.72,0,electronics,credit_card,0,0,0,1,0
TXN100201,21.53,13,0,3686,1,188.79,15.17,0,grocery,digital_wallet,1,0,0,1,0
TXN100202,31.78,20,0,3792,6,102.19,60.71,0,grocery,digital_wallet,0,0,0,0,0
TXN100203,376.21,2,1,206,3,219.82,31.67,0,online_retail,digital_wallet,0,0,1,0,0
TXN100204,113.27,10,0,1802,2,509.17,12.58,0,travel,credit_card,0,0,0,0,0
TXN100205,6.35,2,1,2510,4,299.59,14.38,0,electronics,debit_card,3,0,0,0,0
TXN100206,19.02,10,0,1657,4,10.74,6.99,0,travel,digital_wallet,0,0,1,1,0
TXN100207,145.46,11,0,1504,0,159.13,12.68,0,electronics,debit_card,0,0,1,1,0
TXN100208,5.18,19,1,2349,0,206.93,3.17,1,restaurant,credit_card,0,0,0,1,1
TXN100209,30.07,10,1,2875,4,20.11,42.42,0,grocery,credit_card,0,0,1,0,0
TXN100210,138.8,22,0,2592,3,56.58,40.55,0,restaurant,digital_wallet,0,0,1,1,0
TXN100211,154.88,3,0,1205,4,162.72,40.92,0,electronics,credit_card,0,1,0,1,1
TXN100212,163.92,1,0,355,1,161.51,17.6,0,other,debit_card,0,0,1,1,1
TXN100213,40.66,0,0,228,3,256.4,2.23,0,restaurant,credit_card,0,0,0,0,1
TXN100214,184.41,8,0,2862,4,253.45,18.15,1,grocery,digital_wallet,1,0,0,0,0
TXN100215,51.45,4,0,115,2,66.53,8.91,1,other,digital_wallet,2,0,0,1,0
TXN100216,68.32,2,1,1029,4,168.44,0.14,0,other,debit_card,0,1,0,0,0
TXN100217,247.56,5,0,2890,2,212.94,14.83,0,grocery,credit_card,1,0,1,0,1
TXN100218,159.34,23,0,114,4,94.65,40.99,0,travel,credit_card,0,0,0,0,0
TXN100219,265.65,19,0,1506,2,59.56,24.21,0,jewelry,credit_card,1,0,0,0,0
TXN100220,161.38,0,1,294,3,103.73,4.61,0,travel,debit_card,0,0,0,0,0
TXN100221,134.88,21,0,889,3,134.3,41.53,0,grocery,credit_card,0,1,0,1,1
TXN100222,20.17,4,0,2253,0,223.25,6.32,0,grocery,digital_wallet,0,0,1,0,0
TXN100223,64.76,9,0,1046,4,86.93,4.54,0,grocery,credit_card,1,0,0,0,0
TXN100224,51.78,7,0,2898,5,263.61,57.82,1,online_retail,credit_card,1,0,0,0,0
TXN100225,48.26,9,0,11,3,273.88,0.36,0,travel,credit_card,0,0,0,0,0
TXN100226,739.72,18,0,1563,2,59.68,2.69,0,online_retail,credit_card,0,0,0,0,0
TXN100227,100.1,17,1,2143,1,85.38,11.5,0,gas_station,debit_card,0,1,1,1,0
TXN100228,305.93,14,0,2753,0,384.01,2.68,0,gas_station,credit_card,0,0,0,0,0
TXN100229,149.36,15,1,1908,5,128.27,3.45,0,other,debit_card,0,0,0,1,0
TXN100230,203.5,17,0,813,3,117.83,22.92,0,other,credit_card,0,0,0,1,0
TXN100231,102.26,4,0,1285,5,333.5,39.07,0,electronics,debit_card,0,0,1,0,1
TXN100232,139.19,9,0,1285,3,205.63,19.01,0,electronics,credit_card,0,0,1,1,0
TXN100233,123.36,2,1,3364,1,596.8,2.36,0,restaurant,credit_card,0,0,0,1,0
TXN100234,34.43,16,0,2524,1,53.65,43.67,0,grocery,debit_card,1,0,0,1,0
TXN100235,182.37,10,0,3112,3,95.22,65.43,0,travel,credit_card,0,0,1,1,0
TXN100236,42.07,15,0,2660,8,48.94,6.45,0,restaurant,digital_wallet,2,0,0,0,0
TXN100237,8.52,13,0,600,1,179.85,9.43,0,grocery,debit_card,0,0,0,0,0
TXN100238,141.33,6,1,2370,0,208.87,15.6,0,restaurant,digital_wallet,0,0,0,0,0
TXN100239,32.13,3,1,2869,1,146.89,20.32,0,grocery,credit_card,0,0,0,0,0
TXN100240,385.4,23,0,68,6,168.13,72.62,0,other,debit_card,1,1,1,1,0
TXN100241,461.38,7,0,3006,5,296.4,91.28,0,gas_station,credit_card,0,0,0,0,0
TXN100242,303.31,2,0,3375,4,272.1,11.01,0,grocery,debit_card,1,0,1,0,0
TXN100243,62.34,7,0,23,2,237.54,1.96,0,restaurant,credit_card,1,0,0,0,0
TXN100244,9.48,21,1,964,4,238.9,8.96,0,grocery,debit_card,0,1,0,0,0
TXN100245,343.02,6,0,657,5,133.73,11.39,0,travel,debit_card,0,0,0,0,0
TXN100246,77.88,23,1,2714,0,229.51,13.74,0,electronics,credit_card,1,0,0,0,0
TXN100247,642.17,11,1,2367,3,156.06,77.18,0,gas_station,debit_card,0,0,1,0,0
TXN100248,711.47,20,1,143,3,58.12,5.09,0,other,digital_wallet,0,0,1,1,1
TXN100249,254.23,15,0,1757,6,21.72,13.75,0,online_retail,debit_card,1,0,0,0,0
TXN100250,54.84,1,1,2920,2,84.38,6.71,0,online_retail,digital_wallet,0,0,1,0,0
TXN100251,81.2,12,1,2828,6,113.98,53.13,0,travel,credit_card,0,0,0,1,0
TXN100252,357.73,10,0,3741,4,36.73,86.8,0,other,credit_card,0,0,0,1,1
TXN100253,55.23,4,0,502,0,277.81,51.05,0,travel,credit_card,0,0,1,1,0
TXN100254,31.91,13,0,1373,2,248.94,8.72,1,restaurant,debit_card,2,1,0,0,1
TXN100255,139.48,2,1,2487,1,444.38,6.6,0,other,debit_card,0,0,0,1,0
TXN100256,440.06,16,0,3087,3,159.84,11.82,0,restaurant,credit_card,0,0,1,1,0
TXN100257,175.52,19,0,2160,4,188.99,31.41,0,grocery,credit_card,1,0,0,1,0
TXN100258,129.52,2,0,3926,5,50.8,0.2,0,grocery,credit_card,0,0,0,0,0
TXN100259,17.24,11,0,3308,2,128.65,76.84,0,grocery,digital_wallet,0,0,1,1,0
TXN100260,144.0,15,0,3326,2,98.47,52.29,0,restaurant,credit_card,1,1,0,0,0
TXN100261,674.67,1,1,3290,5,126.92,0.49,0,electronics,credit_card,0,0,0,1,0
TXN100262,28.42,9,0,852,8,106.09,10.89,0,grocery,debit_card,0,0,0,0,0
TXN100263,107.18,6,1,2403,2,91.67,21.64,0,grocery,credit_card,0,0,0,1,0
TXN100264,338.41,0,0,2594,0,15.87,3.98,0,travel,debit_card,1,1,0,0,1
TXN100265,234.32,19,1,147,4,103.18,2.04,0,online_retail,debit_card,0,0,0,1,0
TXN100266,187.58,10,0,251,1,105.06,16.75,0,online_retail,digital_wallet,0,0,1,0,1
TXN100267,194.9,18,0,1397,3,149.85,51.33,0,electronics,digital_wallet,0,0,1,0,0
TXN100268,72.28,14,1,654,3,79.24,78.68,0,grocery,debit_card,0,1,0,0,1
TXN100269,57.13,21,0,2135,2,114.09,0.22,0,other,credit_card,0,0,0,1,0
TXN100270,232.57,23,0,2296,0,136.42,34.34,0,grocery,digital_wallet,0,0,0,0,0
TXN100271,264.04,14,0,3992,6,98.21,14.28,0,grocery,digital_wallet,1,1,0,1,1
TXN100272,304.12,8,0,599,3,107.22,6.94,0,electronics,credit_card,1,0,1,1,0
TXN100273,477.82,10,0,2305,3,195.87,15.16,0,electronics,debit_card,0,0,0,1,0
TXN100274,135.77,19,0,1346,1,105.77,159.71,0,electronics,credit_card,0,0,1,0,0
TXN100275,114.62,10,0,245,2,23.88,9.05,0,online_retail,credit_card,0,0,1,1,1
TXN100276,223.69,12,0,340,0,56.31,9.52,1,grocery,credit_card,1,0,0,0,1
TXN100277,142.16,4,0,1297,4,29.18,25.71,0,travel,debit_card,1,1,0,1,0
TXN100278,215.25,23,0,2795,6,83.08,0.83,0,travel,credit_card,0,0,0,1,0
TXN100279,251.08,15,0,3289,1,110.51,36.64,0,grocery,debit_card,1,1,0,1,0
TXN100280,356.03,7,0,2688,3,297.49,24.9,0,grocery,debit_card,0,0,0,1,0
TXN100281,54.24,14,0,280,3,71.73,32.73,0,restaurant,digital_wallet,0,1,0,0,0
TXN100282,84.54,9,1,3111,4,171.5,4.31,0,jewelry,debit_card,0,0,0,1,0
TXN100283,20.91,3,0,1642,7,126.27,35.7,0,restaurant,credit_card,0,0,0,0,0
TXN100284,117.73,20,0,163,5,186.68,10.36,1,restaurant,debit_card,0,0,0,1,0
